"key","category","type","regex","default","description"
"spark.acls.enable","SparkOptional","Boolean",,"false","Whether Spark acls should be enabled. If enabled,this checks to see if the user has access permissions to view or modify the job. Note this requires the user to be known,so if the user comes across as null no checks are done. Filters can be used with the UI to authenticate and set the user. "
"spark.admin.acls","SparkOptional","StringList",,,"Comma separated list of users/administrators that have view and modify access to all Spark jobs. This can be used if you run on a shared cluster and have a set of administrators or devs who help debug when things do not work. Putting a '*' in the list means any user can have the privilege of admin. "
"spark.admin.acls.groups","SparkOptional","StringList",,,"Comma separated list of groups that have view and modify access to all Spark jobs. This can be used if you have a set of administrators or developers who help maintain and debug the underlying infrastructure. Putting a '*' in the list means any user in any group can have the privilege of admin. The user groups are obtained from the instance of the groups mapping provider specified by <code>spark.user.groups.mapping</code>. Check the entry <code>spark.user.groups.mapping</code> for more details. "
"spark.app.name","SparkMandatory","String","^[a-zA-Z0-9-]+$",,"The name of your application. This will appear in the UI and in log data. "
"spark.authenticate","SparkOptional","Boolean",,"false","Whether Spark authenticates its internal connections. See <code>spark.authenticate.secret</code> if not running on YARN. "
"spark.authenticate.enableSaslEncryption","SparkOptional","Boolean",,"false","Enable encrypted communication when authentication is enabled. This is supported by the block transfer service and the RPC endpoints. "
"spark.authenticate.secret","SparkOptional","String",,,"Set the secret key used for Spark to authenticate between components. This needs to be set if not running on YARN and authentication is enabled. "
"spark.blacklist.enabled","SparkOptional","Boolean",,"false ","If set to 'true',prevent Spark from scheduling tasks on executors that have been blacklisted due to too many task failures. The blacklisting algorithm can be further controlled by the other 'spark.blacklist' configuration options. "
"spark.blacklist.stage.maxFailedExecutorsPerNode","SparkOptional","NonNegativeInteger",,"2","(Experimental) How many different executors are marked as blacklisted for a given stage,before the entire node is marked as failed for the stage. "
"spark.blacklist.stage.maxFailedTasksPerExecutor","SparkOptional","NonNegativeInteger",,"2","(Experimental) How many different tasks must fail on one executor,within one stage,before the executor is blacklisted for that stage. "
"spark.blacklist.task.maxTaskAttemptsPerExecutor","SparkOptional","NonNegativeInteger",,"1","(Experimental) For a given task,how many times it can be retried on one executor before the executor is blacklisted for that task. "
"spark.blacklist.task.maxTaskAttemptsPerNode","SparkOptional","NonNegativeInteger",,"2","(Experimental) For a given task,how many times it can be retried on one node,before the entire node is blacklisted for that task. "
"spark.blockManager.port","SparkOptional","NonNegativeInteger",,,"Port for all block managers to listen on. These exist on both the driver and the executors. "
"spark.broadcast.blockSize","SparkOptional","ByteSize",,"4m","Size of each piece of a block for <code>TorrentBroadcastFactory</code>. Too large a value decreases parallelism during broadcast (makes it slower); however,if it is too small,<code>BlockManager</code> might take a performance hit. "
